model_id,model_name,model_family,developer,release_date,context_window_tokens,mode,sources_found_in,canonical_model_id_litellm,canonical_model_id_openrouter,canonical_model_id_modelsdev,dedup_confidence,dedup_notes,avg_agentic_coding_score,avg_reasoning_chat_score
1024-x-1536-gpt-image-1-5,1024-x-1536-gpt-image-1-5,,1024-x-1536,,,image_generation,litellm,1024-x-1536/gpt-image-1.5,,,high,multiple versioned variants exist for this family,,
1024-x-1536-gpt-image-1-5-2025-12-16,1024-x-1536-gpt-image-1-5-2025-12-16,,1024-x-1536,,,image_generation,litellm,1024-x-1536/gpt-image-1.5-2025-12-16,,,high,multiple versioned variants exist for this family,,
1536-x-1024-gpt-image-1-5,1536-x-1024-gpt-image-1-5,,1536-x-1024,,,image_generation,litellm,1536-x-1024/gpt-image-1.5,,,high,multiple versioned variants exist for this family,,
1536-x-1024-gpt-image-1-5-2025-12-16,1536-x-1024-gpt-image-1-5-2025-12-16,,1536-x-1024,,,image_generation,litellm,1536-x-1024/gpt-image-1.5-2025-12-16,,,high,multiple versioned variants exist for this family,,
256-x-256-dall-e-2,256-x-256-dall-e-2,,256-x-256,,,image_generation,litellm,256-x-256/dall-e-2,,,high,,,
512-x-512-50-steps-stability-stable-diffusion-xl-v0,512-x-512-50-steps-stability-stable-diffusion-xl-v0,,512-x-512,,77.0,image_generation,litellm,512-x-512/50-steps/stability.stable-diffusion-xl-v0,,,high,,,
512-x-512-dall-e-2,512-x-512-dall-e-2,,512-x-512,,,image_generation,litellm,512-x-512/dall-e-2,,,high,,,
512-x-512-max-steps-stability-stable-diffusion-xl-v0,512-x-512-max-steps-stability-stable-diffusion-xl-v0,,512-x-512,,77.0,image_generation,litellm,512-x-512/max-steps/stability.stable-diffusion-xl-v0,,,high,,,
@cf-ai4bharat-indictrans2-en-indic-1b,IndicTrans2 EN-Indic 1B,,@cf,2025-09-25,128000.0,chat,modelsdev,,,@cf/ai4bharat/indictrans2-en-indic-1B,high,,,
@cf-aisingapore-gemma-sea-lion-v4-27b-it,Gemma SEA-LION v4 27B IT,,@cf,2025-09-25,128000.0,chat,modelsdev,,,@cf/aisingapore/gemma-sea-lion-v4-27b-it,high,,,
@cf-baai-bge-base-en-v1-5,BGE Base EN v1.5,,@cf,2025-04-03,128000.0,chat,modelsdev,,,@cf/baai/bge-base-en-v1.5,high,,,
@cf-baai-bge-large-en-v1-5,BGE Large EN v1.5,,@cf,2025-04-03,128000.0,chat,modelsdev,,,@cf/baai/bge-large-en-v1.5,high,,,
@cf-baai-bge-m3,BGE M3,,@cf,2025-04-03,128000.0,chat,modelsdev,,,@cf/baai/bge-m3,high,,,
@cf-baai-bge-reranker-base,BGE Reranker Base,,@cf,2025-04-09,128000.0,chat,modelsdev,,,@cf/baai/bge-reranker-base,high,,,
@cf-baai-bge-small-en-v1-5,BGE Small EN v1.5,,@cf,2025-04-03,128000.0,chat,modelsdev,,,@cf/baai/bge-small-en-v1.5,high,,,
@cf-deepgram-aura-2-en,Deepgram Aura 2 (EN),,@cf,2025-11-14,128000.0,chat,modelsdev,,,@cf/deepgram/aura-2-en,high,,,
@cf-deepgram-aura-2-es,Deepgram Aura 2 (ES),,@cf,2025-11-14,128000.0,chat,modelsdev,,,@cf/deepgram/aura-2-es,high,,,
@cf-deepgram-nova-3,Deepgram Nova 3,,@cf,2025-11-14,128000.0,chat,modelsdev,,,@cf/deepgram/nova-3,high,,,
@cf-deepseek-ai-deepseek-r1-distill-qwen-32b,DeepSeek R1 Distill Qwen 32B,qwen,@cf,2025-04-03,128000.0,chat,modelsdev,,,@cf/deepseek-ai/deepseek-r1-distill-qwen-32b,high,,,
@cf-facebook-bart-large-cnn,BART Large CNN,,@cf,2025-04-09,128000.0,chat,modelsdev,,,@cf/facebook/bart-large-cnn,high,,,
@cf-google-gemma-3-12b-it,Gemma 3 12B IT,,@cf,2025-04-11,128000.0,chat,modelsdev,,,@cf/google/gemma-3-12b-it,high,,,
@cf-huggingface-distilbert-sst-2-int8,DistilBERT SST-2 INT8,,@cf,2025-04-03,128000.0,chat,modelsdev,,,@cf/huggingface/distilbert-sst-2-int8,high,,,
@cf-ibm-granite-granite-4-0-h-micro,IBM Granite 4.0 H Micro,,@cf,2025-10-15,128000.0,chat,modelsdev,,,@cf/ibm-granite/granite-4.0-h-micro,high,,,
@cf-meta-llama-2-7b-chat-fp16,Llama 2 7B Chat FP16,llama,cloudflare,2025-04-03,3072.0,chat,"litellm,modelsdev",cloudflare/@cf/meta/llama-2-7b-chat-fp16,,@cf/meta/llama-2-7b-chat-fp16,high,,,
@cf-meta-llama-2-7b-chat-int8,@cf-meta-llama-2-7b-chat-int8,llama,cloudflare,,2048.0,chat,litellm,cloudflare/@cf/meta/llama-2-7b-chat-int8,,,high,,,
@cf-meta-llama-3-1-8b-instruct,Llama 3.1 8B Instruct,llama,@cf,2025-04-03,128000.0,chat,modelsdev,,,@cf/meta/llama-3.1-8b-instruct,high,,,
@cf-meta-llama-3-1-8b-instruct-awq,Llama 3.1 8B Instruct AWQ,llama,@cf,2025-04-03,128000.0,chat,modelsdev,,,@cf/meta/llama-3.1-8b-instruct-awq,high,,,
@cf-meta-llama-3-1-8b-instruct-fp8,Llama 3.1 8B Instruct FP8,llama,@cf,2025-04-03,128000.0,chat,modelsdev,,,@cf/meta/llama-3.1-8b-instruct-fp8,high,,,
@cf-meta-llama-3-2-11b-vision-instruct,Llama 3.2 11B Vision Instruct,llama,@cf,2025-04-03,128000.0,chat,modelsdev,,,@cf/meta/llama-3.2-11b-vision-instruct,high,,,
@cf-meta-llama-3-2-1b-instruct,Llama 3.2 1B Instruct,llama,@cf,2025-04-03,128000.0,chat,modelsdev,,,@cf/meta/llama-3.2-1b-instruct,high,,,
@cf-meta-llama-3-2-3b-instruct,Llama 3.2 3B Instruct,llama,@cf,2025-04-03,128000.0,chat,modelsdev,,,@cf/meta/llama-3.2-3b-instruct,high,,,
@cf-meta-llama-3-3-70b-instruct-fp8-fast,Llama 3.3 70B Instruct FP8 Fast,llama,@cf,2025-04-03,128000.0,chat,modelsdev,,,@cf/meta/llama-3.3-70b-instruct-fp8-fast,high,,,
@cf-meta-llama-3-8b-instruct,Llama 3 8B Instruct,llama,@cf,2025-04-03,128000.0,chat,modelsdev,,,@cf/meta/llama-3-8b-instruct,high,,,
@cf-meta-llama-3-8b-instruct-awq,Llama 3 8B Instruct AWQ,llama,@cf,2025-04-03,128000.0,chat,modelsdev,,,@cf/meta/llama-3-8b-instruct-awq,high,,,
@cf-meta-llama-4-scout-17b-16e-instruct,Llama 4 Scout 17B 16E Instruct,llama,@cf,2025-04-16,128000.0,chat,modelsdev,,,@cf/meta/llama-4-scout-17b-16e-instruct,high,,,
@cf-meta-llama-guard-3-8b,Llama Guard 3 8B,llama,@cf,2025-04-03,128000.0,chat,modelsdev,,,@cf/meta/llama-guard-3-8b,high,,,
@cf-meta-m2m100-1-2b,M2M100 1.2B,,@cf,2025-04-03,128000.0,chat,modelsdev,,,@cf/meta/m2m100-1.2b,high,,,
@cf-mistral-mistral-7b-instruct-v0-1,Mistral 7B Instruct v0.1,,cloudflare,2025-04-03,8192.0,chat,"litellm,modelsdev",cloudflare/@cf/mistral/mistral-7b-instruct-v0.1,,@cf/mistral/mistral-7b-instruct-v0.1,high,,,
@cf-mistralai-mistral-small-3-1-24b-instruct,Mistral Small 3.1 24B Instruct,,@cf,2025-04-11,128000.0,chat,modelsdev,,,@cf/mistralai/mistral-small-3.1-24b-instruct,high,,,
@cf-myshell-ai-melotts,MyShell MeloTTS,,@cf,2025-11-14,128000.0,chat,modelsdev,,,@cf/myshell-ai/melotts,high,,,
@cf-openai-gpt-oss-120b,GPT OSS 120B,,@cf,2025-08-05,128000.0,chat,modelsdev,,,@cf/openai/gpt-oss-120b,high,,,
@cf-openai-gpt-oss-20b,GPT OSS 20B,,@cf,2025-08-05,128000.0,chat,modelsdev,,,@cf/openai/gpt-oss-20b,high,,,
@cf-pfnet-plamo-embedding-1b,PLaMo Embedding 1B,,@cf,2025-09-25,128000.0,chat,modelsdev,,,@cf/pfnet/plamo-embedding-1b,high,,,
@cf-pipecat-ai-smart-turn-v2,Pipecat Smart Turn v2,,@cf,2025-11-14,128000.0,chat,modelsdev,,,@cf/pipecat-ai/smart-turn-v2,high,,,
@cf-qwen-qwen2-5-coder-32b-instruct,Qwen 2.5 Coder 32B Instruct,qwen,@cf,2025-04-11,128000.0,chat,modelsdev,,,@cf/qwen/qwen2.5-coder-32b-instruct,high,,,
@cf-qwen-qwen3-30b-a3b-fp8,Qwen3 30B A3B FP8,qwen,@cf,2025-11-14,128000.0,chat,modelsdev,,,@cf/qwen/qwen3-30b-a3b-fp8,high,,,
@cf-qwen-qwen3-embedding-0-6b,Qwen3 Embedding 0.6B,qwen,@cf,2025-11-14,128000.0,chat,modelsdev,,,@cf/qwen/qwen3-embedding-0.6b,high,,,
@cf-qwen-qwq-32b,QwQ 32B,,@cf,2025-04-11,128000.0,chat,modelsdev,,,@cf/qwen/qwq-32b,high,,,
@cf-zai-org-glm-4-7-flash,GLM-4.7-Flash,,@cf,2026-01-19,131072.0,chat,modelsdev,,,@cf/zai-org/glm-4.7-flash,high,,,
@hf-thebloke-codellama-7b-instruct-awq,@hf-thebloke-codellama-7b-instruct-awq,llama,cloudflare,,4096.0,chat,litellm,cloudflare/@hf/thebloke/codellama-7b-instruct-awq,,,high,,,
abacusai-dracarys-72b-instruct,Llama 3.1 70B Dracarys 2,llama,abacusai,2025-08-02,16384.0,chat,modelsdev,,,abacusai/Dracarys-72B-Instruct,high,,,
accounts-fireworks-models-deepseek-v3p1,DeepSeek V3.1,deepseek,accounts,2025-08-21,163840.0,chat,modelsdev,,,accounts/fireworks/models/deepseek-v3p1,high,,,
accounts-fireworks-models-deepseek-v3p2,DeepSeek V3.2,deepseek,accounts,2025-12-01,160000.0,chat,modelsdev,,,accounts/fireworks/models/deepseek-v3p2,high,,,
accounts-fireworks-models-glm-4p5,GLM 4.5,,accounts,2025-07-29,131072.0,chat,modelsdev,,,accounts/fireworks/models/glm-4p5,high,,,
accounts-fireworks-models-glm-4p5-air,GLM 4.5 Air,,accounts,2025-08-01,131072.0,chat,modelsdev,,,accounts/fireworks/models/glm-4p5-air,high,,,
accounts-fireworks-models-glm-4p7,GLM 4.7,,accounts,2025-12-22,198000.0,chat,modelsdev,,,accounts/fireworks/models/glm-4p7,high,,,
accounts-fireworks-models-glm-5,GLM 5,,accounts,2026-02-11,202752.0,chat,modelsdev,,,accounts/fireworks/models/glm-5,high,,,
accounts-fireworks-models-gpt-oss-120b,GPT OSS 120B,,accounts,2025-08-05,131072.0,chat,modelsdev,,,accounts/fireworks/models/gpt-oss-120b,high,,,
accounts-fireworks-models-gpt-oss-20b,GPT OSS 20B,,accounts,2025-08-05,131072.0,chat,modelsdev,,,accounts/fireworks/models/gpt-oss-20b,high,,,
accounts-fireworks-models-kimi-k2-instruct,Kimi K2 Instruct,,accounts,2025-07-11,128000.0,chat,modelsdev,,,accounts/fireworks/models/kimi-k2-instruct,high,,,
accounts-fireworks-models-kimi-k2-thinking,Kimi K2 Thinking,,accounts,2025-11-06,256000.0,chat,modelsdev,,,accounts/fireworks/models/kimi-k2-thinking,high,,,
accounts-fireworks-models-kimi-k2p5,Kimi K2.5,,accounts,2026-01-27,256000.0,chat,modelsdev,,,accounts/fireworks/models/kimi-k2p5,high,,,
accounts-fireworks-models-minimax-m2p1,MiniMax-M2.1,,accounts,2025-12-23,200000.0,chat,modelsdev,,,accounts/fireworks/models/minimax-m2p1,high,,,
accounts-fireworks-models-minimax-m2p5,MiniMax-M2.5,,accounts,2026-02-12,196608.0,chat,modelsdev,,,accounts/fireworks/models/minimax-m2p5,high,,,
ada,ada,,azure,,8191.0,embedding,litellm,azure/ada,,,high,,,
ai21-j2-mid-v1,ai21-j2-mid-v1,,,,8191.0,chat,litellm,ai21.j2-mid-v1,,,high,,,
ai21-j2-ultra-v1,ai21-j2-ultra-v1,,,,8191.0,chat,litellm,ai21.j2-ultra-v1,,,high,,,
ai21-jamba-1-5-large-v1,ai21-jamba-1-5-large-v1,,,,256000.0,chat,litellm,ai21.jamba-1-5-large-v1:0,,,high,,,
ai21-jamba-1-5-mini-v1,ai21-jamba-1-5-mini-v1,,,,256000.0,chat,litellm,ai21.jamba-1-5-mini-v1:0,,,high,,,
ai21-jamba-instruct-v1,ai21-jamba-instruct-v1,,,,4096.0,chat,litellm,ai21.jamba-instruct-v1:0,,,high,,,
ai21-jamba-large-1-7,AI21: Jamba Large 1.7,,ai21,2025-08-09,256000.0,chat,"openrouter,modelsdev",,ai21/jamba-large-1.7,ai21/jamba-large-1.7,high,,,
ai21-labs-ai21-jamba-1-5-large,AI21 Jamba 1.5 Large,,ai21-labs,2024-08-29,256000.0,chat,modelsdev,,,ai21-labs/ai21-jamba-1.5-large,high,,,
ai21-labs-ai21-jamba-1-5-mini,AI21 Jamba 1.5 Mini,,ai21-labs,2024-08-29,256000.0,chat,modelsdev,,,ai21-labs/ai21-jamba-1.5-mini,high,,,
aiml-dall-e-2,aiml-dall-e-2,,aiml,,,image_generation,litellm,aiml/dall-e-2,,,high,,,
aiml-dall-e-3,aiml-dall-e-3,,aiml,,,image_generation,litellm,aiml/dall-e-3,,,high,,,
aiml-flux-dev,aiml-flux-dev,,aiml,,,image_generation,litellm,aiml/flux/dev,,,high,,,
aiml-flux-kontext-max-text-to-image,aiml-flux-kontext-max-text-to-image,,aiml,,,image_generation,litellm,aiml/flux/kontext-max/text-to-image,,,high,,,
aiml-flux-kontext-pro-text-to-image,aiml-flux-kontext-pro-text-to-image,,aiml,,,image_generation,litellm,aiml/flux/kontext-pro/text-to-image,,,high,,,
aiml-flux-pro,aiml-flux-pro,,aiml,,,image_generation,litellm,aiml/flux-pro,,,high,,,
aiml-flux-pro-v1-1,aiml-flux-pro-v1-1,,aiml,,,image_generation,litellm,aiml/flux-pro/v1.1,,,high,,,
aiml-flux-pro-v1-1-ultra,aiml-flux-pro-v1-1-ultra,,aiml,,,image_generation,litellm,aiml/flux-pro/v1.1-ultra,,,high,,,
aiml-flux-realism,aiml-flux-realism,,aiml,,,image_generation,litellm,aiml/flux-realism,,,high,,,
aiml-flux-schnell,aiml-flux-schnell,,aiml,,,image_generation,litellm,aiml/flux/schnell,,,high,,,
aiml-google-imagen-4-0-ultra-generate-001,aiml-google-imagen-4-0-ultra-generate-001,,aiml,,,image_generation,litellm,aiml/google/imagen-4.0-ultra-generate-001,,,high,,,
aiml-google-nano-banana-pro,aiml-google-nano-banana-pro,,aiml,,,image_generation,litellm,aiml/google/nano-banana-pro,,,high,,,
aion-labs-aion-1-0,AionLabs: Aion-1.0,,aion-labs,2025-02-05,131072.0,chat,"openrouter,modelsdev",,aion-labs/aion-1.0,aion-labs/aion-1.0,high,,,
aion-labs-aion-1-0-mini,AionLabs: Aion-1.0-Mini,,aion-labs,2025-02-05,131072.0,chat,"openrouter,modelsdev",,aion-labs/aion-1.0-mini,aion-labs/aion-1.0-mini,high,,,
aion-labs-aion-2-0,AionLabs: Aion-2.0,,aion-labs,2026-02-24,131072.0,chat,"openrouter,modelsdev",,aion-labs/aion-2.0,aion-labs/aion-2.0,high,,,
aion-labs-aion-rp-llama-3-1-8b,AionLabs: Aion-RP 1.0 (8B),,aion-labs,2025-02-05,32768.0,chat,"openrouter,modelsdev",,aion-labs/aion-rp-llama-3.1-8b,aion-labs/aion-rp-llama-3.1-8b,high,,,
alfredpros-codellama-7b-instruct-solidity,AlfredPros: CodeLLaMa 7B Instruct Solidity,llama,alfredpros,2025-04-14,4096.0,chat,"openrouter,modelsdev",,alfredpros/codellama-7b-instruct-solidity,alfredpros/codellama-7b-instruct-solidity,high,,,
alibaba-nlp-2-tongyi-deepresearch-30b-a3b,Tongyi DeepResearch 30B A3B,,Alibaba-NLP 2,2025-08-26,128000.0,chat,modelsdev,,,Alibaba-NLP 2/Tongyi-DeepResearch-30B-A3B,high,,,
alibaba-qwen-3-14b,Qwen3-14B,qwen,alibaba,2025-04,40960.0,chat,modelsdev,,,alibaba/qwen-3-14b,high,,,
alibaba-qwen-3-235b,Qwen3 235B A22B Instruct 2507,qwen,alibaba,2025-04,40960.0,chat,modelsdev,,,alibaba/qwen-3-235b,high,,,
alibaba-qwen-3-30b,Qwen3-30B-A3B,qwen,alibaba,2025-04,40960.0,chat,modelsdev,,,alibaba/qwen-3-30b,high,,,
alibaba-qwen-3-32b,Qwen 3.32B,qwen,alibaba,2025-04,40960.0,chat,modelsdev,,,alibaba/qwen-3-32b,high,,,
alibaba-qwen3-235b-a22b-thinking,Qwen3 235B A22B Thinking 2507,qwen,alibaba,2025-04,262114.0,chat,modelsdev,,,alibaba/qwen3-235b-a22b-thinking,high,,,
alibaba-qwen3-5-flash,Qwen 3.5 Flash,qwen,alibaba,2026-02-24,1000000.0,chat,modelsdev,,,alibaba/qwen3.5-flash,high,,,
alibaba-qwen3-5-plus,Qwen 3.5 Plus,qwen,alibaba,2026-02-16,1000000.0,chat,modelsdev,,,alibaba/qwen3.5-plus,high,,,
alibaba-qwen3-coder,Qwen3 Coder 480B A35B Instruct,qwen,alibaba,2025-04,262144.0,chat,modelsdev,,,alibaba/qwen3-coder,high,,,
alibaba-qwen3-coder-30b-a3b,Qwen 3 Coder 30B A3B Instruct,qwen,alibaba,2025-04,160000.0,chat,modelsdev,,,alibaba/qwen3-coder-30b-a3b,high,,,
alibaba-qwen3-coder-next,Qwen3 Coder Next,qwen,alibaba,2025-07-22,256000.0,chat,modelsdev,,,alibaba/qwen3-coder-next,high,,,
alibaba-qwen3-coder-plus,Qwen3 Coder Plus,qwen,alibaba,2025-07-23,1000000.0,chat,modelsdev,,,alibaba/qwen3-coder-plus,high,,,
alibaba-qwen3-embedding-0-6b,Qwen3 Embedding 0.6B,qwen,alibaba,2025-11-14,32768.0,chat,modelsdev,,,alibaba/qwen3-embedding-0.6b,high,,,
alibaba-qwen3-embedding-4b,Qwen3 Embedding 4B,qwen,alibaba,2025-06-05,32768.0,chat,modelsdev,,,alibaba/qwen3-embedding-4b,high,,,
alibaba-qwen3-embedding-8b,Qwen3 Embedding 8B,qwen,alibaba,2025-06-05,32768.0,chat,modelsdev,,,alibaba/qwen3-embedding-8b,high,,,
alibaba-qwen3-max,Qwen3 Max,qwen,alibaba,2025-09-23,262144.0,chat,modelsdev,,,alibaba/qwen3-max,high,,,
alibaba-qwen3-max-preview,Qwen3 Max Preview,qwen,alibaba,2025-09-23,262144.0,chat,modelsdev,,,alibaba/qwen3-max-preview,high,,,
alibaba-qwen3-max-thinking,Qwen 3 Max Thinking,qwen,alibaba,2025-01,256000.0,chat,modelsdev,,,alibaba/qwen3-max-thinking,high,,,
alibaba-qwen3-next-80b-a3b-instruct,Qwen3 Next 80B A3B Instruct,qwen,alibaba,2025-09-12,262144.0,chat,modelsdev,,,alibaba/qwen3-next-80b-a3b-instruct,high,,,
alibaba-qwen3-next-80b-a3b-thinking,Qwen3 Next 80B A3B Thinking,qwen,alibaba,2025-09-12,131072.0,chat,modelsdev,,,alibaba/qwen3-next-80b-a3b-thinking,high,,,
alibaba-qwen3-vl-instruct,Qwen3 VL Instruct,qwen,alibaba,2025-09-24,131072.0,chat,modelsdev,,,alibaba/qwen3-vl-instruct,high,,,
alibaba-qwen3-vl-thinking,Qwen3 VL Thinking,qwen,alibaba,2025-09-24,131072.0,chat,modelsdev,,,alibaba/qwen3-vl-thinking,high,,,
alibaba-tongyi-deepresearch-30b-a3b,Tongyi DeepResearch 30B A3B,,alibaba,2025-09-18,131072.0,chat,"openrouter,modelsdev",,alibaba/tongyi-deepresearch-30b-a3b,alibaba/tongyi-deepresearch-30b-a3b,high,,,
allenai-molmo-2-8b,AllenAI: Molmo2 8B,,allenai,2026-01-09,36864.0,chat,"openrouter,modelsdev",,allenai/molmo-2-8b,allenai/molmo-2-8b:free,high,,,
allenai-olmo-2-0325-32b-instruct,AllenAI: Olmo 2 32B Instruct,,allenai,2025-03-15,128000.0,chat,"openrouter,modelsdev",,allenai/olmo-2-0325-32b-instruct,allenai/olmo-2-0325-32b-instruct,high,,,
allenai-olmo-3-1-32b-instruct,AllenAI: Olmo 3.1 32B Instruct,,allenai,2026-01-07,65536.0,chat,"openrouter,modelsdev",,allenai/olmo-3.1-32b-instruct,allenai/olmo-3.1-32b-instruct,high,,,
allenai-olmo-3-1-32b-think,AllenAI: Olmo 3.1 32B Think,,allenai,2025-12-17,65536.0,chat,"openrouter,modelsdev",,allenai/olmo-3.1-32b-think,allenai/olmo-3.1-32b-think,high,,,
allenai-olmo-3-32b-think,AllenAI: Olmo 3 32B Think,,allenai,2025-11-22,65536.0,chat,"openrouter,modelsdev",,allenai/olmo-3-32b-think,allenai/olmo-3-32b-think,high,,,
allenai-olmo-3-7b-instruct,AllenAI: Olmo 3 7B Instruct,,allenai,2025-11-22,65536.0,chat,"openrouter,modelsdev",,allenai/olmo-3-7b-instruct,allenai/olmo-3-7b-instruct,high,,,
allenai-olmo-3-7b-think,AllenAI: Olmo 3 7B Think,,allenai,2025-11-22,65536.0,chat,"openrouter,modelsdev",,allenai/olmo-3-7b-think,allenai/olmo-3-7b-think,high,,,
allenai-olmocr-7b-0725-fp8,allenai-olmocr-7b-0725-fp8,,deepinfra,,16384.0,chat,litellm,deepinfra/allenai/olmOCR-7B-0725-FP8,,,high,,,
alpindale-goliath-120b,Goliath 120B,,alpindale,2023-11-10,6144.0,chat,"openrouter,modelsdev",,alpindale/goliath-120b,alpindale/goliath-120b,high,,,
amazon-nova-2-lite,Nova 2 Lite,,amazon,2024-12-01,1000000.0,chat,modelsdev,,,amazon/nova-2-lite,high,,,
amazon-nova-2-lite-v1,Amazon: Nova 2 Lite,,,2024-12-01,64000.0,chat,"litellm,openrouter,modelsdev",amazon.nova-2-lite-v1:0,amazon/nova-2-lite-v1,amazon.nova-2-lite-v1:0,high,,,
amazon-nova-2-multimodal-embeddings-v1,amazon-nova-2-multimodal-embeddings-v1,,,,8172.0,embedding,litellm,amazon.nova-2-multimodal-embeddings-v1:0,,,high,,,
amazon-nova-2-pro-preview-20251202-v1,amazon-nova-2-pro-preview-20251202-v1,,,,64000.0,chat,litellm,amazon.nova-2-pro-preview-20251202-v1:0,,,high,,,
amazon-nova-canvas-v1,amazon-nova-canvas-v1,,,,,image_generation,litellm,amazon.nova-canvas-v1:0,,,high,,,
amazon-nova-lite,Nova Lite,,amazon,2024-12-03,300000.0,chat,modelsdev,,,amazon/nova-lite,high,,,
amazon-nova-lite-v1,Amazon: Nova Lite 1.0,,,2024-12-03,10000.0,chat,"litellm,openrouter,modelsdev",amazon.nova-lite-v1:0,amazon/nova-lite-v1,amazon.nova-lite-v1:0,high,,,
amazon-nova-micro,Nova Micro,,amazon,2024-12-03,128000.0,chat,modelsdev,,,amazon/nova-micro,high,,,
amazon-nova-micro-v1,Amazon: Nova Micro 1.0,,,2024-12-03,10000.0,chat,"litellm,openrouter,modelsdev",amazon.nova-micro-v1:0,amazon/nova-micro-v1,amazon.nova-micro-v1:0,high,,,
amazon-nova-nova-lite-v1,amazon-nova-nova-lite-v1,,amazon-nova,,10000.0,chat,litellm,amazon-nova/nova-lite-v1,,,high,,,
amazon-nova-nova-micro-v1,amazon-nova-nova-micro-v1,,amazon-nova,,10000.0,chat,litellm,amazon-nova/nova-micro-v1,,,high,,,
amazon-nova-nova-premier-v1,amazon-nova-nova-premier-v1,,amazon-nova,,10000.0,chat,litellm,amazon-nova/nova-premier-v1,,,high,,,
amazon-nova-nova-pro-v1,amazon-nova-nova-pro-v1,,amazon-nova,,10000.0,chat,litellm,amazon-nova/nova-pro-v1,,,high,,,
amazon-nova-premier-v1,Amazon: Nova Premier 1.0,,amazon,2024-12-03,1000000.0,chat,"openrouter,modelsdev",,amazon/nova-premier-v1,amazon.nova-premier-v1:0,high,,,
amazon-nova-pro,Nova Pro,,amazon,2024-12-03,300000.0,chat,modelsdev,,,amazon/nova-pro,high,,,
amazon-nova-pro-v1,Amazon: Nova Pro 1.0,,,2024-12-03,10000.0,chat,"litellm,openrouter,modelsdev",amazon.nova-pro-v1:0,amazon/nova-pro-v1,amazon.nova-pro-v1:0,high,,,
amazon-rerank-v1,amazon-rerank-v1,,,,32000.0,rerank,litellm,amazon.rerank-v1:0,,,high,,,
amazon-titan-embed-image-v1,amazon-titan-embed-image-v1,,,,128.0,embedding,litellm,amazon.titan-embed-image-v1,,,high,,,
amazon-titan-embed-text-v1,amazon-titan-embed-text-v1,,,,8192.0,embedding,litellm,amazon.titan-embed-text-v1,,,high,,,
amazon-titan-embed-text-v2,Titan Text Embeddings V2,,,2024-04,8192.0,embedding,"litellm,modelsdev",amazon.titan-embed-text-v2:0,,amazon/titan-embed-text-v2,high,,,
amazon-titan-image-generator-v1,amazon-titan-image-generator-v1,,,,,image_generation,litellm,amazon.titan-image-generator-v1,,,high,,,
amazon-titan-image-generator-v2,amazon-titan-image-generator-v2,,,,,image_generation,litellm,amazon.titan-image-generator-v2,,,high,,,
amazon-titan-text-express-v1,amazon-titan-text-express-v1,,,,8000.0,chat,litellm,amazon.titan-text-express-v1,,,high,,,
amazon-titan-text-lite-v1,amazon-titan-text-lite-v1,,,,4000.0,chat,litellm,amazon.titan-text-lite-v1,,,high,,,
amazon-titan-text-premier-v1,amazon-titan-text-premier-v1,,,,32000.0,chat,litellm,amazon.titan-text-premier-v1:0,,,high,,,
